25df5,ws2_32.WSAGetLastError #111
25e24,ws2_32.closesocket #3
261d6,shlwapi.PathIsURLW #710
2620c,kernel32.GetTempPathW #741
26260,kernel32.DeleteFileW #268
262b0,kernel32.ExpandEnvironmentStringsW #343
263ea,shell32.ShellExecuteW #455
271e0,kernel32.GetProcessId #678
27251,kernel32.GetThreadContext #742
27280,kernel32.CloseHandle #129
272dc,kernel32.SetThreadContext #1325
27314,kernel32.DuplicateHandle #289
2758d,kernel32.WaitForSingleObject #1452
27a94,shell32.SHGetFolderPathW #385
28a4e,kernel32.EnterCriticalSection #295
28a72,kernel32.LeaveCriticalSection #931
28f6c,ws2_32.recv #16
28f8c,ws2_32.WSAGetLastError #111
29b16,kernel32.VirtualAllocEx #1437
29b90,kernel32.DuplicateHandle #289
29bca,kernel32.DuplicateHandle #289
29c16,kernel32.VirtualAllocEx #1437
29c53,kernel32.WriteProcessMemory #1515
29ccd,kernel32.WriteProcessMemory #1515
2b10b,user32.GetForegroundWindow #1831
2b134,user32.GetWindowTextW #1974
2b18f,user32.GetKeyboardState #1852
2b1c1,user32.ToUnicode #2333
2b953,kernel32.GetModuleHandleW #617
2b987,kernel32.GetProcAddress #671
2b9b8,kernel32.GetProcAddress #671
2ba13,kernel32.GetProcAddress #671
2ba7a,kernel32.GetProcAddress #671
2bacf,kernel32.GetModuleHandleW #617
2bb0b,kernel32.GetProcAddress #671
2bb6e,kernel32.LoadLibraryA #934
2bb9b,kernel32.GetProcAddress #671
2bbcc,kernel32.GetProcAddress #671
2bf4b,kernel32.WaitForMultipleObjects #1450
2c028,kernel32.WaitForSingleObject #1452
2c05e,ws2_32.WSAGetLastError #111
2c08a,kernel32.WaitForSingleObject #1452
2c147,kernel32.CreateThread #234
2c169,kernel32.CloseHandle #129
2c18f,kernel32.EnterCriticalSection #295
2c1f4,kernel32.LeaveCriticalSection #931
2c5b5,kernel32.CreateThread #234
2c663,kernel32.CreateThread #234
2c7c7,kernel32.Sleep #1363
2c8e6,kernel32.Sleep #1363
2c91a,kernel32.CopyFileW #167
2c957,kernel32.GetLastError #594
2c9de,sqlite3.sqlite3_open #133
2ca0c,sqlite3.sqlite3_prepare #139
2ca7b,sqlite3.sqlite3_step #189
2caae,sqlite3.sqlite3_step #189
2cad5,sqlite3.sqlite3_column_text #57
2cafa,sqlite3.sqlite3_column_text #57
2cb18,sqlite3.sqlite3_column_blob #40
2cb3d,sqlite3.sqlite3_column_bytes #41
2cb5b,sqlite3.sqlite3_column_text #57
2cb7e,sqlite3.sqlite3_column_int64 #50
2cba7,sqlite3.sqlite3_column_int #49
2cbca,sqlite3.sqlite3_column_int #49
2cdae,sqlite3.sqlite3_finalize #100
2cdcd,sqlite3.sqlite3_close #36
2cde6,kernel32.GetFileAttributesW #567
2ce07,kernel32.DeleteFileW #268
2d8d4,kernel32.EnterCriticalSection #295
2d938,kernel32.LeaveCriticalSection #931
2e2cc,shell32.SHGetFolderPathW #385
2e366,kernel32.FindFirstFileW #373
2e3ba,kernel32.FindNextFileW #385
2e482,kernel32.GetFileAttributesW #567
2e4cc,kernel32.FindClose #362
2fe6d,kernel32.WaitForSingleObject #1452
30680,kernel32.GetTempPathW #741
30781,kernel32.SetEvent #1265
307dc,kernel32.WaitForMultipleObjects #1450
30816,kernel32.SetEvent #1265
3083c,shell32.ShellExecuteW #455
30869,kernel32.ResetEvent #1187
30898,kernel32.ResetEvent #1187
30934,kernel32.GetLastError #594
30957,kernel32.DeleteFileW #268
30c50,kernel32.CreateFileW #196
30c85,kernel32.CloseHandle #129
3120e,kernel32.CreateThread #234
32746,kernel32.InitializeCriticalSection #841
32762,kernel32.GetTempPathW #741
327cc,shell32.SHGetFolderPathW #385
33068,kernel32.CopyFileW #167
33094,kernel32.DeleteFileW #268
330c7,kernel32.Sleep #1363
33832,ntdll.NtQueryInformationProcess #450
338ed,kernel32.DuplicateHandle #289
3391f,kernel32.CloseHandle #129
33c8b,crypt32.CryptUnprotectData #1250
34929,kernel32.GetFileAttributesW #567
34a42,kernel32.GetTempPathW #741
34a60,shlwapi.PathAddBackslashW #612
350bd,ws2_32.WSAIoctl #78
35a5d,kernel32.WaitForSingleObject #1452
35ead,kernel32.SetEvent #1265
367c6,advapi32.RegOpenKeyExW #1646
367f6,advapi32.RegQueryValueExW #1659
3682d,advapi32.RegCloseKey #1597
36ac7,kernel32.Sleep #1363
36b03,kernel32.TerminateProcess #1378
36b18,kernel32.CloseHandle #129
37057,combase.StringFromGUID2 #328
381b7,kernel32.CreateFileW #196
38229,kernel32.GetFileSizeEx #574
38298,kernel32.VirtualAlloc #1436
382cb,kernel32.ReadFile #1105
38312,kernel32.VirtualFree #1439
3832d,kernel32.CloseHandle #129
3893c,kernel32.ReadFile #1105
389a7,kernel32.WriteFile #1506
38a12,kernel32.FlushFileBuffers #404
38a62,shlwapi.SHDeleteKeyW #767
3c027,ws2_32.getsockname #6
3c65d,kernel32.SetFilePointerEx #1278
3d55e,ws2_32.send #19
3dc59,ws2_32.inet_addr #11
3e5e1,libssl.x509_get_subject_name #52
3e60a,libssl.x509_name_oneline #54
41ce6,kernel32.WaitForSingleObject #1452
41d1f,kernel32.SetEvent #1265
41d4e,kernel32.WaitForSingleObject #1452
42208,ws2_32.WSAStartup #115
4282f,kernel32.Sleep #1363
443a2,wininet.InternetCloseHandle #264
447e3,kernel32.EnterCriticalSection #295
4485a,kernel32.LeaveCriticalSection #931
44a25,kernel32.LeaveCriticalSection #931
45b9c,user32.CharUpperW #1568
4605f,kernel32.Sleep #1363
46343,ws2_32.getpeername #5
463c4,ws2_32.getsockname #6
46fa8,kernel32.VirtualFree #1439
47c61,kernel32.GetThreadContext #742
47d61,kernel32.SetThreadContext #1325
4a452,kernel32.CreateToolhelp32Snapshot #243
4a49c,kernel32.HeapAlloc #817
4a4df,kernel32.Thread32Next #1395
4a528,kernel32.GetCurrentProcessId #524
4a550,kernel32.GetCurrentThreadId #528
4a588,kernel32.HeapReAlloc #824
4a5c5,kernel32.CloseHandle #129
4abac,kernel32.ReadFile #1105
4ac3b,kernel32.WriteFile #1506
4ac6e,kernel32.FlushFileBuffers #404
4ae3f,kernel32.OpenThread #1014
4ae61,kernel32.SuspendThread #1371
4ae84,kernel32.CloseHandle #129
4b6cb,kernel32.OpenThread #1014
4b6fe,kernel32.ResumeThread #1193
4b710,kernel32.CloseHandle #129
4b725,kernel32.HeapFree #821
4bdb8,urlmon.ObtainUserAgentString #205
