18335,advapi32.GetTokenInformation #1369
18369,kernel32.GetLastError #594
183a1,advapi32.GetTokenInformation #1369
18407,advapi32.OpenThreadToken #1536
18419,kernel32.GetCurrentThread #527
18446,advapi32.OpenProcessToken #1531
1847c,advapi32.LookupPrivilegeValueW #1430
184a9,advapi32.AdjustTokenPrivileges #1033
184ce,kernel32.GetLastError #594
184f5,kernel32.CloseHandle #129
1852a,advapi32.InitializeSecurityDescriptor #1398
18548,advapi32.SetSecurityDescriptorDacl #1736
185ae,advapi32.ConvertStringSecurityDescriptorToSecurityDescriptorW #1131
185eb,advapi32.ConvertStringSecurityDescriptorToSecurityDescriptorW #1131
18641,advapi32.GetSecurityDescriptorSacl #1355
1866c,advapi32.SetSecurityDescriptorSacl #1740
1869b,kernel32.LocalFree #947
186e4,kernel32.CreateToolhelp32Snapshot #243
18715,kernel32.Process32FirstW #1038
18777,kernel32.Process32NextW #1040
187a3,kernel32.CloseHandle #129
187ea,advapi32.OpenProcessToken #1531
18817,advapi32.GetTokenInformation #1369
18842,kernel32.GetLastError #594
18878,advapi32.GetTokenInformation #1369
188af,advapi32.GetSidSubAuthorityCount #1366
188da,advapi32.GetSidSubAuthority #1365
18901,kernel32.CloseHandle #129
18a26,kernel32.IsWow64Process #888
18ac7,advapi32.OpenProcessToken #1531
18b1a,advapi32.GetTokenInformation #1369
18b55,kernel32.CloseHandle #129
18dd6,kernel32.FlushFileBuffers #404
18de9,kernel32.CloseHandle #129
1913e,shlwapi.wvnsprintfA #924
193e5,kernel32.Sleep #1363
19607,advapi32.CryptAcquireContextA #1194
19632,advapi32.CryptCreateHash #1197
19681,advapi32.CryptHashData #1218
196b1,advapi32.CryptGetHashParam #1214
196e3,advapi32.CryptDestroyHash #1200
196f7,advapi32.CryptReleaseContext #1221
19d68,kernel32.ExitThread #340
19d7d,kernel32.ExitThread #340
19df7,kernel32.WideCharToMultiByte #1486
1a34e,shlwapi.wvnsprintfW #925
1a3ac,kernel32.GetTickCount #757
1a480,kernel32.CreateFileW #196
1a4c7,kernel32.ReadFile #1105
1a4ff,kernel32.CloseHandle #129
1a533,kernel32.VirtualFree #1439
1a553,kernel32.CloseHandle #129
1a618,kernel32.WaitForSingleObject #1452
1a65f,wininet.InternetReadFile #320
1a731,wininet.InternetQueryOptionA #318
1a756,wininet.InternetCloseHandle #264
1a784,wininet.InternetCloseHandle #264
